cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A
CALCE_CS2_33,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_34,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_35,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_36,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_37,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_38,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_16,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_33,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_34,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_35,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_36,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_37,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_38,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
